傲睨一世,昂首望天
屏弃,摈弃
光风霁月,冰壶秋月
酷寒,冰冷
冷面,冰脸
冰冷,冰凉
龙脑,冰片
不染纤尘,冰清玉洁
水火不容,冰炭不洽
雪窖冰天,冰天雪地
叛乱,兵变
师出无名,兵出无名
军多将广,兵多将广
兵书,兵法
打仗,兵戈
艨艟,兵舰
军力,兵力
戎马,兵马
武器,兵器
战士,兵士
兵法,兵书
佳兵不祥,兵凶战危
虎帐,兵营
军种,兵种
承袭,秉承
而且,并且
草衣木食,并日而食
独一无二,并世无双
霸占,并吞
垂死,病笃
祸国殃民,病国殃民
全愈,病愈
医院,病院
货郎鼓,拨浪鼓
盘弄,拨弄
颠簸,波动
波涛,波澜
汹涌澎湃,波澜壮阔
海浪,波浪
妨害,波折
褫夺,剥夺
否极必泰,剥极必复
聚敛,剥削
吸血虫,剥削者
昆季,伯仲
驳倒,驳斥
驳斥,驳倒
非难,驳诘
靠岸,泊岸
停车,泊车
怫然作色,勃然变色
来路货,舶来品
泛爱,博爱
赢得,博得
博学多闻,博古通今
展览会,博览会
广博,博识
宏儒硕学,博学多才
博古通今,博学多闻
屠杀,搏斗
拚命,搏命
苦命,薄命
傍晚,薄暮
单薄,薄弱
软弱,薄弱虚弱
菲酌,薄酌
赔偿,补偿
增补,补充
调停,补救
修缮,补葺
补贴,补助
修理,补缀
哺养,哺育
疑神疑鬼,捕风捉影
捕捉,捕获
探员,捕快
网鱼,捕鱼
捕获,捕捉
不安分,不安本分
不安本分,不安分
不守妇道,不安于室
不守妇道,不安于位
未便,不便
稳定,不变
鄙人,不才
不理,不睬
意外,不测
不成才,不长进
不可,不成
不长进,不成才
不长进,不成材
有失体统,不成体统
不食人间烟火,不吃烟火食
从容不迫,不迟不疾
不辞劳怨,不辞劳苦
不辞劳苦,不辞劳怨
不搭嘴,不搭腔
不搭腔,不搭嘴
不合时宜,不达时宜
不搭腔,不答腔
不打不相识,不打不成相识
不打不相识,不打不成相与
不打不成相与,不打不相识
不但,不单
不光,不但
不妥,不当
不作数,不当准
天诛地灭,不得善终
茫无头绪,不得要领
不停,不断
精益求精,不断改进
不合错误,不对
